Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
NA852,MANTA RAY @ SS207 A - LDC ALLOCATION POINT,AK,ADAK,,R,INT,NPC,113,"Nautilus Pipeline Company, L.L.C.",11300NA852
79033,"BLACK HILLS - BENTON, MO",MO,NO COUNTY NAME,1,D,END,TE,120,"Texas Eastern Transmission, LP",1200079033
73200,COLUMBIA GAS - FRANKLIN CO. PA (DELIVERY),PA,FRANKLIN,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073200
75061,EASTERN GAS - FRANKLIN REC76061/DEL73061,PA,FRANKLIN,3,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075061
G0013,KINETICA ENERGY EXPRESS (992108),OF,SOUTH MARSH IS.,,D,INT,GB,106,"Garden Banks Gas Pipeline, LLC",10600G0013
00078,"CROMWELL (MIDDLESEX,CT)",CT,MIDDLESEX,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000078
79976,BAYWAY LATERAL (MAINLINE),NJ,UNION,3,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079976
73508,"ATMOS ENERGY/ROXIE-FAYETTE DELIVERY-FRANKLIN CO., MS",MS,FRANKLIN,ELA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200073508
59169,MOHAWK,TN,GREENE,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059169
70584,"ELIZABETHTOWN GAS COMPANY - RINGOES, NJ",NJ,HUNTERDON,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070584
73422,"WOODWARD PIPELINE-APPLE SPRINGS / ANGELINA CO., TX (REC)",TX,ANGELINA,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073422
74186,"DEFS (LINE #23 - INLET BYPASS) - PROVIDENT CITY, TX",TX,LAVACA,STX,R,STA,TE,120,"Texas Eastern Transmission, LP",1200074186
73105,"DAYTON PWR & LT - CLINTON, OH CENTERPOINT ENERGY",OH,CLINTON,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200073105
70573,"BATESVILLE, IN",IN,RIPLEY,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070573
79519,VENICE PLANT FOR NOMINATIONS,LA,PLAQUEMINES,ELA,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079519
73972,TRANSCO MAINLINE NEAR WOODBRIDGE (GREENWAY SANDS),NJ,MIDDLESEX,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073972
99856,MAHWAH IN-LINE TRANSFER POINT,NJ,BERGEN,,D,STA,AGT,100,"Algonquin Gas Transmission, LLC",1000099856
00041,"PEEKSKILL (WESTCHESTER,NY)",NY,WESTCHESTER,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000041
59147,EARLY GROVE DEL/INJ (BI-D 59009),VA,WASHINGTON,,D,STR,ETNG,105,"East Tennessee Natural Gas, LLC",1050059147
39008,BUCKPORT LATERAL MAINLINE,ME,YORK,,D,STA,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110039008
73901,"GAS UTILITIES DISTRICT #1 ANGOLA DEL., STATE HWY 10, W.FELICIANA P",LA,WEST FELICIANA,ELA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200073901
44101,SALTVILLE VIRGINIA GAS STORAGE POINT,VA,SMYTH,,D,STR,SGSC,117,Saltville Gas Storage Company L.L.C.,1170044101
71424,"NEW ROADS, LA",LA,POINTE COUPEE,ELA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071424
71841,"OHIO INTRASTATE ENERGY, LLC  (FORD) - BUTLER CO., OH",OH,BUTLER,,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071841
59071,UCG BLOUNTVILLE,TN,SULLIVAN,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059071
73310,"SOUTH SHORE P/L (NE&T), NUECES CO., TX",TX,NUECES,STX,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200073310
70011,"COLUMBIA GAS OF  PA.  - EAGLE, PA",PA,CHESTER,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200070011
73706,"EQT- BRADEN RUN, GREENE CO., PA.",PA,GREENE,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073706
00069,"OXFORD (NEW HAVEN, CT)",CT,NEW HAVEN,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000069
74201,"ACCESS MIDSTREAM CLARKS MILL ROAD-JEFFERSON CO., OH",OH,JEFFERSON,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200074201
30047,"MAINE NAT GAS - WINDSOR, KENNEBEC CO, ME",ME,KENNEBEC,,D,LDC,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110030047
79970,HEAD OF MANHATTAN EXTENSION - MAINLINE,NY,RICHMOND,3,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079970
